;capas;encoding_dim;epochs;batch_size;rmse;mae
0;[];195;300;16;0.007040563;5.484232e-05
1;[];195;1000;16;0.0073831035;5.967784e-05
2;[];195;10000;16;0.0076808813;6.470776e-05
3;[];1008;300;16;0.006823071;5.296402e-05
4;[];1008;1000;16;0.007138232;5.8727725e-05
5;[];1008;10000;16;0.006780154;5.2219544e-05
6;[];1260;300;16;0.007079557;5.7189616e-05
7;[];1260;1000;16;0.0067353863;5.3202624e-05
8;[];1260;10000;16;0.006655296;5.0365892e-05
9;[];2016;300;16;0.0070234532;5.630873e-05
10;[];2016;1000;16;0.0070112594;5.610054e-05
11;[];2016;10000;16;0.007541603;6.3866704e-05
