;capas;encoding_dim;epochs;batch_size;rmse;mae
0;[];180;100;16;0.007936237;6.8297726e-05
1;[100];180;100;16;0.011930353;0.00015953848
2;[200];180;100;16;0.011400082;0.00014427202
3;[200, 175];180;100;16;0.021455972;0.0005174098
4;[];180;100;32;0.0094324;9.727345e-05
5;[100];180;100;32;0.012803376;0.00019012093
6;[200];180;100;32;0.012299519;0.0001631817
7;[200, 175];180;100;32;0.024376914;0.00062074914
8;[];180;100;64;0.008666638;8.38122e-05
9;[100];180;100;64;0.014721863;0.00023393323
10;[200];180;100;64;0.012201791;0.00017195486
11;[200, 175];180;100;64;0.019385811;0.00043094225
12;[];180;100;64;0.01433039;0.00027296666
13;[];180;100;512;0.012646525;0.00018077754
14;[100];180;100;64;0.014558987;0.0002365706
15;[100];180;100;512;0.018081123;0.00035706203
16;[200];180;100;64;0.015029857;0.00024460882
17;[200];180;100;512;0.017584614;0.0003310174
18;[200, 175];180;100;64;0.016366681;0.00029577364
19;[200, 175];180;100;512;0.01970624;0.00041877496
20;[];200;100;16;0.007319586;5.9239035e-05
21;[];200;100;32;0.0077137095;6.6043765e-05
22;[];200;100;64;0.008753257;8.436817e-05
23;[];200;100;512;0.012598414;0.00018305217
24;[100];200;100;16;0.011322681;0.00014146308
25;[100];200;100;32;0.01196564;0.00015839453
26;[100];200;100;64;0.01227946;0.00016906628
27;[100];200;100;512;0.021012662;0.0005068603
28;[200];200;100;16;0.010962763;0.00013366119
29;[200];200;100;32;0.011855776;0.00015461625
30;[200];200;100;64;0.011853372;0.00015741409
31;[200];200;100;512;0.017439857;0.00033205416
32;[200, 175];200;100;16;0.023263345;0.0005968142
33;[200, 175];200;100;32;0.022272522;0.00056253246
34;[200, 175];200;100;64;0.016583152;0.00031279848
35;[200, 175];200;100;512;0.021498654;0.0005112775
36;[];225;100;16;0.0070234253;5.469641e-05
37;[];225;100;32;0.008697104;8.278035e-05
38;[];225;100;64;0.0106198415;0.00012337693
39;[];225;100;512;0.012194077;0.00016727104
40;[];275;100;16;0.0073938565;6.0672162e-05
41;[];275;100;32;0.007478845;6.2359795e-05
42;[];275;100;64;0.008484022;7.981025e-05
43;[];275;100;512;0.012305036;0.00017119606
44;[100];225;100;16;0.011135115;0.00013669375
45;[100];225;100;32;0.0119291805;0.00015758
46;[100];225;100;64;0.013838827;0.00020835969
47;[100];225;100;512;0.02133913;0.0005326973
48;[100];275;100;16;0.01234261;0.00017333661
49;[100];275;100;32;0.014294584;0.00023525833
50;[100];275;100;64;0.013662904;0.0002172767
51;[100];275;100;512;0.02111863;0.0005235277
52;[200];225;100;16;0.012351265;0.00016567492
53;[200];225;100;32;0.012383285;0.00016655128
54;[200];225;100;64;0.016930183;0.00035903847
55;[200];225;100;512;0.017513206;0.00034200883
56;[200];275;100;16;0.011531243;0.00015458222
57;[200];275;100;32;0.011969933;0.0001565071
58;[200];275;100;64;0.012546626;0.00017372696
59;[200];275;100;512;0.018582147;0.00037179177
60;[200, 175];225;100;16;0.023220044;0.00059200183
61;[200, 175];225;100;32;0.018459415;0.00038594502
62;[200, 175];225;100;64;0.017860444;0.00035209153
63;[200, 175];225;100;512;0.022168865;0.000535617
64;[200, 175];275;100;16;0.023862839;0.00061865896
65;[200, 175];275;100;32;0.018393109;0.000371156
66;[200, 175];275;100;64;0.01789205;0.000357449
67;[200, 175];275;100;512;0.021181455;0.00049398915
68;[];504;100;16;0.0069041746;5.340571e-05
69;[];504;100;32;0.008591811;8.5485095e-05
70;[];504;100;64;0.007929971;7.238178e-05
71;[];504;100;512;0.012090645;0.00016528113
72;[];1008;100;16;0.0067506186;5.1390012e-05
73;[];1008;100;32;0.008104684;7.425104e-05
74;[];1008;100;64;0.008717491;8.9740606e-05
75;[];1008;100;512;0.012554068;0.00018182809
76;[100];504;100;16;0.021235472;0.0005381433
77;[100];504;100;32;0.017755121;0.00035338025
78;[100];504;100;64;0.0316234;0.001234437
79;[100];504;100;512;0.021118844;0.0005285239
80;[100];1008;100;16;0.034365423;0.0014053909
81;[100];1008;100;32;0.03157243;0.001228285
82;[100];1008;100;64;0.028270658;0.0009420811
83;[100];1008;100;512;0.03961232;0.0020771644
84;[200];504;100;16;0.011440679;0.00014500711
85;[200];504;100;32;0.010645512;0.00012155211
86;[200];504;100;64;0.013247333;0.00020081547
87;[200];504;100;512;0.020306548;0.00049373467
88;[200];1008;100;16;0.01945628;0.00046549927
89;[200];1008;100;32;0.019907998;0.0004597845
90;[200];1008;100;64;0.02000976;0.0004928234
91;[200];1008;100;512;0.022251321;0.00058902096
92;[200, 175];504;100;16;0.025440399;0.0007400833
93;[200, 175];504;100;32;0.023171306;0.00059174676
94;[200, 175];504;100;64;0.01892281;0.00039781057
95;[200, 175];504;100;512;0.021137163;0.00047518112
96;[200, 175];1008;100;16;0.023468245;0.0006014603
97;[200, 175];1008;100;32;0.019590788;0.00042778923
98;[200, 175];1008;100;64;0.017323975;0.00034458865
99;[200, 175];1008;100;512;0.020424515;0.00045170824
100;[];185;100;16;0.00769573;6.491519e-05
101;[];185;100;32;0.016539639;0.0003179828
102;[];185;100;64;0.009312369;9.6516495e-05
103;[];185;100;512;0.0127946595;0.00018795299
104;[];190;100;16;0.007369108;5.9992355e-05
105;[];190;100;32;0.007524866;6.277682e-05
106;[];190;100;64;0.0099635;0.00010847888
107;[];190;100;512;0.0124108475;0.00017745931
108;[100];185;100;16;0.013233699;0.00019979918
109;[100];185;100;32;0.011845081;0.00015695179
110;[100];185;100;64;0.014853599;0.00023599694
111;[100];185;100;512;0.020665204;0.00050090946
112;[100];190;100;16;0.011881307;0.00015690071
113;[100];190;100;32;0.012253389;0.00016536286
114;[100];190;100;64;0.0133466;0.0002009903
115;[100];190;100;512;0.0205845;0.00047877055
116;[200];185;100;16;0.011091082;0.00013989345
117;[200];185;100;32;0.011464087;0.00014603528
118;[200];185;100;64;0.012455977;0.00017200946
119;[200];185;100;512;0.017234605;0.00032424487
120;[200];190;100;16;0.011956184;0.0001549894
121;[200];190;100;32;0.011805544;0.00015465623
122;[200];190;100;64;0.01323424;0.00018944283
123;[200];190;100;512;0.017496647;0.00033545896
124;[200, 175];185;100;16;0.021726193;0.0005146176
125;[200, 175];185;100;32;0.018338881;0.00037806545
126;[200, 175];185;100;64;0.018806761;0.00039493848
127;[200, 175];185;100;512;0.020291477;0.00045053888
128;[200, 175];190;100;16;0.023329504;0.0005991325
129;[200, 175];190;100;32;0.02045069;0.00047583345
130;[200, 175];190;100;64;0.019583339;0.00042709179
131;[200, 175];190;100;512;0.020150397;0.00045077238
132;[252, 252];190;100;16;0.024617486;0.00065585243
133;[252, 252];190;100;32;0.017395845;0.000327573
134;[252, 252];190;100;64;0.015934907;0.00027975338
135;[252, 252];190;100;512;0.019056184;0.00039123584
136;[252, 252, 200];190;100;16;0.027859405;0.0008768119
137;[252, 252, 200];190;100;32;0.024896827;0.0006850576
138;[252, 252, 200];190;100;64;0.022007983;0.0005294132
139;[252, 252, 200];190;100;512;0.024179589;0.0006570241
140;[];2016;100;16;0.006932923;5.7737663e-05
141;[];2016;300;16;0.007098288;5.8905243e-05
142;[504];2016;100;16;0.012108188;0.00016603792
143;[504];2016;300;16;0.014795269;0.00024359708
144;[252];180;100;16;0.011933067;0.00015387338
145;[252];180;300;16;0.011525714;0.00014365849
146;[252];190;100;16;0.01204524;0.00015985085
147;[252];190;300;16;0.0125893345;0.000176608
148;[];180;100;8;0.0071053505;5.5923934e-05
149;[];195;100;8;0.006822808;5.252308e-05
150;[32];16;100;8;0.021398228;0.00051450776
151;[32];32;100;8;0.020070883;0.00044358583
152;[64];16;100;8;0.01595643;0.00027515058
153;[64];32;100;8;0.013482474;0.00020271486
154;[64, 32];16;100;8;0.021368299;0.00050983595
155;[64, 32];32;100;8;0.01922623;0.0004023314
156;[64, 32];16;300;8;0.022169657;0.0005463324
157;[64, 32];16;500;8;0.02120538;0.00049038767
158;[64, 32];16;1000;8;0.022363462;0.0005485813
159;[64, 32];32;300;8;0.021203253;0.00049841683
160;[64, 32];32;500;8;0.02175484;0.00053602306
161;[64, 32];32;1000;8;0.019455453;0.00041222028
162;[128, 64, 32];16;300;8;0.02855885;0.00090210437
163;[128, 64, 32];16;500;8;0.024147613;0.00063838955
164;[128, 64, 32];16;1000;8;0.023496276;0.00061444595
165;[128, 64, 32];32;300;8;0.027047884;0.0008311956
167;[128, 64, 32];32;500;8;0.025560565;0.00070623925
168;[128, 64, 32];32;1000;8;0.027888563;0.0008822938
169;[64, 32];16;3000;8;0.021368606;0.0005047372
170;[64, 32];16;5000;8;0.020873485;0.00047390428
171;[64, 32];32;3000;8;0.019644711;0.00042384915
172;[64, 32];32;5000;8;0.020964764;0.00049339357
173;[128, 64, 32];16;3000;8;0.02452559;0.00064390403
174;[128, 64, 32];16;5000;8;0.02436303;0.00065605214
175;[128, 64, 32];32;3000;8;0.024559345;0.0006435612
176;[128, 64, 32];32;5000;8;0.024354018;0.0006621286
177;[252, 252];190;300;8;0.022655237;0.0005632739
179;[252, 252];190;1000;8;0.02676228;0.0008188439
179;[252, 252];190;3000;8;0.025949148;0.00072585035
180;[252, 252];190;5000;8;0.024687862;0.0006693643
181;[252, 252];1008;300;8;0.024704976;0.0006530352
182;[252, 252];1008;1000;8;0.02616895;0.0007572291
183;[252, 252];1008;3000;8;0.02676224;0.00077349774
184;[252, 252];1008;5000;8;0.025192661;0.0007049519
185;[200];175;300;8;0.010941602;0.0001391939
186;[200];175;1000;8;0.0110485405;0.00013601336
187;[200];175;3000;8;0.011487643;0.00014407918
188;[200];175;5000;8;0.011317187;0.00014374743
189;[200];185;300;8;0.012561699;0.0001759497
190;[200];185;1000;8;0.01023205;0.000116660136
191;[200];185;3000;8;0.012097064;0.00016344685
192;[200];185;5000;8;0.01109778;0.00013617126
193;[200];190;300;8;0.010833815;0.00013335138
194;[200];190;1000;8;0.010409425;0.00011834485
195;[200];190;3000;8;0.011132165;0.00014193797
196;[200];190;5000;8;0.010632952;0.00012704363
197;[252];185;3000;8;0.013292426;0.00019286355
198;[252];190;300;8;0.011142518;0.00013552429
199;[252];190;1000;8;0.012271462;0.00016336923
200;[252];190;3000;8;0.012076955;0.00016224681
201;[252];175;300;8;0.013862489;0.00021307544
202;[252];175;1000;8;0.012663032;0.00017785457
203;[252];175;3000;8;0.013481135;0.00020529504
204;[252];185;300;8;0.01142862;0.00014285778
205;[252];185;1000;8;0.012305493;0.00017316996
206;[252];180;300;4;0.01646451;0.00030056507
207;[252];180;1000;4;0.016752396;0.00030340615
208;[252];180;3000;4;0.015063253;0.00024754042
209;[252];180;5000;4;0.016930047;0.00031365006
210;[195];504;300;8;0.011182439;0.00014346001
211;[195];504;1000;8;0.01219796;0.00016285302
212;[195];504;3000;8;0.010947905;0.00013380704
213;[195];252;300;8;0.011777266;0.00015736681
214;[195];252;1000;8;0.011998521;0.0001606025
215;[195];252;3000;8;0.01329817;0.00020026816
216;[195];195;300;8;0.012348758;0.00017239364
217;[195];195;1000;8;0.010241947;0.00011621939
218;[195];195;3000;8;0.011475477;0.00014558168
219;[195];180;300;8;0.011893308;0.00015753994
220;[195];180;1000;8;0.012153838;0.00016284992
221;[195];180;3000;8;0.012653164;0.00018072936
222;[252, 252, 252];190;300;8;0.03161438;0.001169784
223;[252, 252, 252];190;1000;8;0.027496863;0.0008458081
224;[252, 252, 252];190;3000;8;0.02885419;0.00091677374
225;[252, 252, 252, 252];190;300;8;0.030754492;0.0010820336
226;[252, 252, 252, 252];190;1000;8;0.029705498;0.0010261098
227;[252, 252, 252, 252];190;3000;8;0.029278658;0.0009883085
228;[252, 252, 252, 252, 252];190;300;8;0.031068232;0.001149608
229;[252, 252, 252, 252, 252];190;1000;8;0.032730564;0.0012330456
230;[252, 252, 252, 252, 252];190;3000;8;0.031572476;0.0011595641
231;[252, 252, 252];190;10000;8;0.027160637;0.0008222557
232;[252, 252, 252, 252];190;10000;8;0.032956146;0.0012733184
233;[252, 252, 252, 252, 252];190;10000;8;0.034955617;0.0014594706
234;[252, 190];190;300;8;0.025063274;0.00068104034
235;[252, 190];190;10000;16;0.025837816;0.0007454288
236;[190];190;300;8;0.013338297;0.00019412792
237;[190];190;300;16;0.011345781;0.00014150633
238;[190];190;1000;8;0.012951787;0.00018397464
239;[190];190;1000;16;0.0117417;0.00015348395
240;[190];190;10000;8;0.013119775;0.0001901995
241;[252, 190];190;300;16;0.024919078;0.0006670929
242;[252, 190];190;1000;8;0.023937399;0.0006258317
243;[252, 190];190;1000;16;0.025071384;0.000732526
244;[252, 190];190;10000;8;0.024468357;0.0006566601
245;[190];190;10000;16;0.012135816;0.00016749484
246;[195];100;300;16;0.012979322;0.00018866429
247;[195];100;1000;16;0.012371786;0.00017070216
248;[195];100;10000;16;0.011486014;0.00014695828
249;[195];190;300;16;0.0114746;0.00014405228
250;[195];190;1000;16;0.012197678;0.00016303967
251;[195];190;10000;16;0.012315572;0.00017403105
252;[195];200;300;16;0.011672481;0.00014780152
253;[195];200;1000;16;0.011216487;0.00013823119
254;[195];200;10000;16;0.011543512;0.00014515892
255;[195];220;300;16;0.012103839;0.00016203188
256;[195];220;1000;16;0.011353848;0.00014246715
257;[195];220;10000;16;0.011221222;0.0001405659
258;[195];1008;300;16;0.015518389;0.000290652
259;[195];1008;1000;16;0.021156909;0.00052878883
260;[195];1008;10000;16;0.01566273;0.00029397014
261;[195];2016;300;16;0.034221664;0.0013994657
262;[195];2016;1000;16;0.034348905;0.0014108046
263;[195];2016;10000;16;0.034468118;0.0014123988
265;[195];100;300;8;0.015193618;0.00024740217
266;[195];100;300;32;0.011402255;0.00014633953
267;[195];100;300;64;0.012624889;0.00017405728
268;[195];100;300;512;0.016956171;0.0003156586
269;[195];100;1000;8;0.01627541;0.00029516753
270;[195];100;1000;32;0.0113667;0.00013906644
271;[195];100;1000;64;0.015812986;0.00027326317
272;[195];100;1000;512;0.017819988;0.0003416388
273;[195];100;10000;8;0.014938518;0.00024416653
274;[195];100;10000;32;0.011805158;0.0001541955
275;[195];100;10000;64;0.012344149;0.00016768549
276;[195];100;10000;512;0.017260777;0.00031912467
277;[195];190;300;8;0.013628271;0.00020407297
278;[195];190;300;32;0.011750374;0.0001532112
279;[195];190;300;64;0.012157407;0.00016267801
280;[195];190;300;512;0.016471826;0.00029954375
281;[195];190;1000;8;0.0128522515;0.00017875117
282;[195];190;1000;32;0.012744196;0.0001758186
283;[195];190;1000;64;0.013443015;0.00019477039
284;[195];190;1000;512;0.018198721;0.000363456
285;[195];190;10000;8;0.01277004;0.00017990387
